Instance,Best-Sol,VBS,NuWLS-c_band,LOANDRA,NuWLS-c-FPS,tt-open-wbo-inc-Glucose4_1,noSAT-MaxSAT,tt-open-wbo-inc-IntelSATSolver,NuWLS-c_static
MaxSATQueriesinInterpretableClassifiers-credit_train_8_CNF_5_20.wcnf,96740,96740,97054,359910,96997,97439,<NA>,97245,96740
MaxSATQueriesinInterpretableClassifiers-pima_train_6_CNF_3_20.wcnf,2757,2757,2782,2787,2822,2757,8792,2758,2757
MaxSATQueriesinInterpretableClassifiers-toms_test_2_CNF_3_20.wcnf,133,133,133,133,133,133,38300,143,133
MinimumWeightDominatingSetProblem-bn-human-BNU_1_0025865_session_1-bg.wcnf,119321020,119326111,119692377,119435371,119693481,119690933,120778766,119717917,119326111
MinimumWeightDominatingSetProblem-channel-500x100x100-b050.wcnf,26717605,26717605,43214732,43352867,43214832,41367487,238790450,41956435,26717605
MinimumWeightDominatingSetProblem-delaunay_n24.wcnf,208226551,208226551,339099915,349843261,339099915,339099915,857248564,349782187,208226551
MinimumWeightDominatingSetProblem-hugebubbles-00020.wcnf,597674280,597674280,701786011,748252038,701786011,701786011,1161602178,719768950,597674280
MinimumWeightDominatingSetProblem-inf-road-usa.wcnf,755673060,755673060,889759383,897856327,889759383,889759383,1402466563,913076364,755673060
MinimumWeightDominatingSetProblem-rgg_n_2_24_s0.wcnf,34317099,34317099,128780500,136136055,128780500,128780500,843248913,146168358,34317099
MinimumWeightDominatingSetProblem-sc-rel9.wcnf,11714532,11714532,20417659,16746750,20418157,13796412,300503375,13410195,11714532
MinimumWeightDominatingSetProblem-soc-livejournal-user-groups.wcnf,85974274,86126469,105805670,<NA>,105762742,133794133,422282238,138017338,86126469
MinimumWeightDominatingSetProblem-web-wikipedia2009.wcnf,26809801,26903283,42426626,27058970,42425663,35866947,98191861,36162838,26903283
ParametricRBACMaintenance_mse20-role_domino_multiple_0.1_8.wcnf,39876,39876,41340,50000,41122,40180,<NA>,40002,39876
ParametricRBACMaintenance_mse20-role_domino_multiple_0.2_0.wcnf,66679,66679,69873,76847,68876,66679,<NA>,68195,70183
ParametricRBACMaintenance_mse20-role_domino_multiple_0.5_1.wcnf,141495,141495,142930,146947,142736,142864,<NA>,142550,141495
ParametricRBACMaintenance_mse20-role_domino_multiple_0.6_8.wcnf,157083,157083,159801,162166,159905,159917,<NA>,159914,157083
ParametricRBACMaintenance_mse20-role_smallcomp_multiple_0.7_2.wcnf,277373,277373,277688,279215,277373,277751,613553,277877,277688
ParametricRBACMaintenance_mse20-role_smallcomp_multiple_0.7_6.wcnf,252179,252179,252213,257122,252179,252213,287013,252281,252298
ParametricRBACMaintenance_mse20-role_smallcomp_multiple_0.8_1.wcnf,350461,350461,350516,362160,350960,350738,392001,350461,351070
ParametricRBACMaintenance_mse20-role_smallcomp_multiple_0.9_6.wcnf,281387,281751,281751,292828,282424,282424,336239,282321,282527
ParametricRBACMaintenance_mse20-role_university_multiple_0.1_1.wcnf,59348,59348,62536,70975,60061,61378,<NA>,59571,59348
ParametricRBACMaintenance_mse20-role_university_multiple_0.4_7.wcnf,170778,170778,173495,174986,174694,170778,<NA>,173343,171804
ParametricRBACMaintenance_mse20-role_university_multiple_0.5_4.wcnf,201580,201580,201759,217726,202035,201839,<NA>,201580,207140
ParametricRBACMaintenance_mse20-role_university_multiple_0.5_5.wcnf,179422,179422,179422,187026,182092,185400,<NA>,183672,186990
ParametricRBACMaintenance_mse20-role_university_multiple_0.5_7.wcnf,175138,175138,175138,178358,180832,178400,<NA>,181018,177305
abstraction-refinement-downcast-antlr.wcnf,76250,76250,76254,76250,76253,76255,<NA>,76258,76254
abstraction-refinement-downcast-avrora.wcnf,46642,46642,46645,46642,46644,46644,868127,46644,46644
abstraction-refinement-downcast-hsqldb.wcnf,30207,30207,30209,31433,30207,30208,1226372,30208,30208
abstraction-refinement-downcast-pmd.wcnf,4227,4227,4227,5547,4227,4227,843895,4229,4227
abstraction-refinement-downcast-xalan.wcnf,65491,65491,65494,65491,65491,65491,738969,65491,65494
abstraction-refinement-polysite-avrora.wcnf,51801,51801,51810,51801,51801,51813,557554,51808,51809
abstraction-refinement-polysite-bloat.wcnf,36,41,54,108,45,41,2544862,54,47
abstraction-refinement-polysite-hsqldb.wcnf,172382,172382,172383,174745,172382,172383,1024629,172387,172383
abstraction-refinement-polysite-pmd.wcnf,188398,188399,188399,190018,188402,188403,1053440,188402,188399
abstraction-refinement-polysite-xalan.wcnf,114620,114623,114640,114623,114640,114625,2216534,114636,114628
causal-discovery-causal_Link_10_1000.wcnf,1917853,1917853,1917853,1917853,1917853,1917853,<NA>,2163402,1917853
causal-discovery-causal_Link_10_10000.wcnf,3948771,3948771,23655582,3948771,23655582,3948771,<NA>,3948771,27102998
causal-discovery-causal_Link_9_100.wcnf,1516100,1516100,3674782,1539490,1539490,2640339,<NA>,1516100,3015491
causal-discovery-causal_Mushroom_7_1000.wcnf,191732,192470,204762,192470,204762,204762,<NA>,204762,192470
causal-discovery-causal_Pigs_6_1000.wcnf,18211446,18211446,19219698,18211446,20157909,20157909,<NA>,22370542,20157909
causal-discovery-causal_Water_10_1000.wcnf,11339025,11339025,31048720,21623480,31048720,11339025,<NA>,11339025,29604607
causal-discovery-causal_alarm_9_1000.wcnf,1233992,1233992,1233992,<NA>,1233992,1233992,<NA>,1233992,1233992
causal-discovery-causal_carpo_8_1000.wcnf,681472,681472,681472,1247289,681472,681472,<NA>,756631,756631
correlation-clustering-Rounded_CorrelationClustering_Ionosphere_BINARY_N260_D0.200.wcnf,6617532,6619298,6829104,6619298,6775167,7317660,32740720,6641195,7043878
correlation-clustering-Rounded_CorrelationClustering_Protein1_UNARY_N290.wcnf,17655241,18087805,19423345,19201678,19639538,21041124,<NA>,18338426,18087805
correlation-clustering-Rounded_CorrelationClustering_Protein2_BINARY_N220.wcnf,13727551,13794490,13796078,13800014,13855344,13891124,128616184,13794490,13811599
correlation-clustering-Rounded_CorrelationClustering_Protein2_BINARY_N240.wcnf,16021618,16026123,16045954,16026123,16270049,16117688,154257688,16495226,16085167
correlation-clustering-Rounded_CorrelationClustering_Protein2_BINARY_N380.wcnf,37207438,37276833,38506600,38168820,37276833,37396124,339739545,38626786,37650671
correlation-clustering-Rounded_CorrelationClustering_Protein2_UNARY_N220.wcnf,13727551,13857607,15596482,13876486,14651136,14473101,<NA>,14323229,13857607
correlation-clustering-Rounded_CorrelationClustering_Protein3_TRANSITIVE_N280.wcnf,19642136,19646803,22450901,19646803,23628259,19764336,176298165,21254249,19654524
correlation-clustering-Rounded_CorrelationClustering_Protein3_UNARY_N220.wcnf,13890288,14617589,14919518,15189495,14865292,14617589,<NA>,15216555,14772672
correlation-clustering-Rounded_CorrelationClustering_Protein4_BINARY_N320.wcnf,12791810,12791810,13372701,13219819,12791810,14650540,139745648,13348703,14188516
correlation-clustering-Rounded_CorrelationClustering_Protein4_UNARY_N250.wcnf,7581560,8230000,8547153,8230000,8674944,8432696,<NA>,8670732,8517524
correlation-clustering-Rounded_CorrelationClustering_Vowel_BINARY_N700_D0.200.wcnf,72872135,72872135,75606664,120016410,74712753,73556449,125804789,76817476,72872135
correlation-clustering-Rounded_CorrelationClustering_Vowel_BINARY_N800_D0.200.wcnf,85899691,85899691,89296765,137124829,85899691,88988774,145304346,86219943,106311058
decision-tree-anneal-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_3.wcnf,284,284,374,284,387,355,375,355,355
decision-tree-anneal-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_5.wcnf,487,487,684,493,702,487,902,702,583
decision-tree-australian-credit-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_5.wcnf,369,369,575,369,575,562,685,575,548
decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_2.wcnf,36,36,72,36,72,72,125,72,72
decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_4.wcnf,93,93,138,93,138,138,149,138,138
