ins,min
BrazilInstance1.xml,88.0
BrazilInstance2.xml,128.0
BrazilInstance4.xml,222.0
BrazilInstance5.xml,333.0
BrazilInstance6.xml,428.0
BrazilInstance7.xml,646.0
FinlandSecondarySchool.xml,
ItalyInstance4.xml,1690.0
MinWidthCB_mitdbsample_200_64_1k_10s_2t_12,57615.0
MinWidthCB_mitdbsample_200_64_1k_10s_3t_12,54340.0
MinWidthCB_mitdbsample_300_26_1k_3s_2t_5,30185.0
MinWidthCB_mitdbsample_300_26_1k_6s_1t_8,30260.0
MinWidthCB_mitdbsample_300_64_1k_3s_1t_5,78940.0
MinWidthCB_mitdbsample_300_64_1k_6s_1t_8,74280.0
MinWidthCB_power_1000_24_1k_20s_2t_22,79792.0
MinWidthCB_power_600_24_1k_6s_1t_8,82666.0
Rounded_BTWBNSL_Flag.BIC_TWBound_4,279616572.0
Rounded_BTWBNSL_Housing_TWBound_2,339552133.0
Rounded_BTWBNSL_Voting_TWBound_4,465356809.0
Rounded_BTWBNSL_Water_1000_1_2.scores_TWBound_4,1328231327.0
Rounded_BTWBNSL_adult15N_TWBound_2,35450924133.0
Rounded_BTWBNSL_hailfinder_10000_1_3.scores_TWBound_4,52067952316.0
Rounded_BTWBNSL_insurance_1000_1_3.scores_TWBound_2,1420617384.0
Rounded_BTWBNSL_insurance_1000_1_3.scores_TWBound_3,1424153258.0
Rounded_BTWBNSL_insurance_1000_1_3.scores_TWBound_4,1419821264.0
Rounded_BTWBNSL_insurance_100_1_3.scores_TWBound_2,171798084.0
Rounded_CorrelationClustering_Ecoli_BINARY_N240_D0.200,17987325.0
Rounded_CorrelationClustering_Ionosphere_BINARY_N200_D0.200,4604640.0
Rounded_CorrelationClustering_Ionosphere_BINARY_N280_D0.200,7192606.0
Rounded_CorrelationClustering_Protein2_BINARY_N380,37362324.0
Rounded_CorrelationClustering_Protein2_BINARY_N400,40426982.0
Rounded_CorrelationClustering_Protein4_UNARY_N230,6181618.0
Rounded_CorrelationClustering_Protein4_UNARY_N250,9173000.0
SwitchingActivityMaximization_OpenRISC1200_100,
SwitchingActivityMaximization_OpenRISC1200_150,
SwitchingActivityMaximization_OpenRISC1200_200,
SwitchingActivityMaximization_OpenRISC1200_66,
SwitchingActivityMaximization_OpenRISC1200_70,
SwitchingActivityMaximization_OpenRISC1200_74,
SwitchingActivityMaximization_OpenRISC1200_80,
SwitchingActivityMaximization_OpenRISC1200_90,
af-synthesis_stb_50_100_3,104.0
af-synthesis_stb_50_120_3,101.0
af-synthesis_stb_50_140_1,127.0
af-synthesis_stb_50_140_8,113.0
af-synthesis_stb_50_160_5,113.0
af-synthesis_stb_50_180_1,130.0
af-synthesis_stb_50_200_4,105.0
af-synthesis_stb_50_200_5,102.0
af-synthesis_stb_50_200_6,111.0
af-synthesis_stb_50_20_8,120.0
af-synthesis_stb_50_40_8,117.0
af-synthesis_stb_50_60_3,115.0
af-synthesis_stb_50_80_7,115.0
af-synthesis_stb_50_80_8,116.0
ann.formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_2,198.0
ann.formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_4,349.0
ann.formula_0.8_2021_atleast_63_max-5_reduced_incomplete_adaboost_4,367.0
aus.formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_3,238.0
aus.formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_4,334.0
aus.formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_4,373.0
aus.formula_0.8_2021_atleast_63_max-5_reduced_incomplete_adaboost_5,424.0
aus.formula_0.8_2021_atleast_63_max-5_reduced_incomplete_adaboost_6,441.0
bf2030fvslack,
bn-human-BNU_1_0025865_session_1-bg,119422216.0
bnn_mnist_0_label7_adversarial_norm_inf_totalizer,
bnn_mnist_11_label6_adversarial_norm_inf_totalizer,
bnn_mnist_17_label7_adversarial_norm_inf_totalizer,
bnn_mnist_1_label2_adversarial_norm_inf_totalizer,
bnn_mnist_back_image_12_label6_adversarial_norm_inf_totalizer,
bnn_mnist_back_image_14_label9_adversarial_norm_inf_totalizer,
bnn_mnist_back_image_32_label3_adversarial_norm_inf_totalizer,
bnn_mnist_back_image_3_label6_adversarial_norm_inf_totalizer,
bnn_mnist_back_image_5_label2_adversarial_norm_inf_totalizer,
bnn_mnist_back_image_9_label1_adversarial_norm_inf_totalizer,
bnn_mnist_rot_15_label8_adversarial_norm_inf_totalizer,
bnn_mnist_rot_1_label0_adversarial_norm_inf_totalizer,
car.formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_2,238.0
causal_Heart_10_212,5166113.0
causal_Statlog_7_752,664731.0
causal_insurance_9_100,4108082.0
channel-500x100x100-b050,26418630.0
comp05,477.0
comp15,112.0
dds4,
delaunay_n24,276297680.0
dim.MANN_a81.clq,1995.0
dim.brock800_3.clq,1079.0
dim.hamming10-4.clq,1683.0
dim.johnson8-4-4.clq,4154.0
dim.san400_0.7_3.clq,1201.0
dim.san400_0.9_1.clq,1604.0
dir.1403.wcsp.dir,459246.0
downcast-hsqldb,30231.0
downcast-pmd,4248.0
hea.formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_4,99.0
hea.formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_4,120.0
hea.formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_5,154.0
hea.formula_0.8_2021_atleast_63_max-5_reduced_incomplete_adaboost_5,162.0
hugebubbles-00020,588404049.0
inf-road-usa,759515141.0
instance10,5414.0
instance11,3558.0
instance12,5048.0
instance2,829.0
instance3,1012.0
instance4,1721.0
instance5,1193.0
instance6,2081.0
instance7,1124.0
instance8,2848.0
instance9,1515.0
limits-10-10_data-1_inst-044_30m.sm-extracted,
limits-10-10_data-2_inst-030_30m.sm-extracted,
lisbon-wedding-1-17,
lisbon-wedding-1-19,
lisbon-wedding-10-18,416.0
lisbon-wedding-10-19,418.0
lisbon-wedding-3-18,
lisbon-wedding-5-19,979.0
lisbon-wedding-7-19,450.0
lisbon-wedding-8-18,414.0
lisbon-wedding-8-19,421.0
log.1401.wcsp.log,459106.0
log.1405.wcsp.log,459415.0
log.28.wcsp.log,270105.0
mul.role_domino_multiple_0.8_5,180126.0
mul.role_domino_multiple_1.0_4,229869.0
mul.role_smallcomp_multiple_0.9_7,456934.0
mul.role_university_multiple_0.1_0,58895.0
pa-2,1230.0
pa-3,545.0
polysite-hsqldb,172424.0
polysite-pmd,188442.0
polysite-xalan,114700.0
power-distribution_12_8,216.0
power-distribution_2_8,10.0
pri.formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_6,288.0
pri.formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_3,130.0
r11,53022569.0
rail2536,
rail4284,
rail4872,
ram_k3_n14.ra1,3025.0
ram_k3_n16.ra1,7271.0
ram_k3_n17.ra1,10372.0
ram_k4_n20.ra1,2419.0
ran-scp.scpnrg3_weighted,166.0
ran-scp.scpnrg4_weighted,168.0
ran-scp.scpnrh5_weighted,55.0
random-net-40-4_network-2.net,36427.0
random-net-50-4_network-8.net,43243.0
random-net-50-5_network-8.net,46535.0
rgg_n_2_24_s0,54514898.0
role_domino_0.05_15,23941.0
role_domino_0.1_18,39055.0
role_domino_0.1_3,39196.0
role_domino_0.3_15,97466.0
role_domino_0.6_2,168705.0
role_domino_0.9_0,199223.0
role_smallcomp_0.85_4,369639.0
role_university_0.15_8,97401.0
role_university_0.25_3,139521.0
role_university_0.25_8,139538.0
role_university_0.5_3,203621.0
role_university_0.75_7,213018.0
role_university_1.0_2,207061.0
sc-rel9,11179778.0
simNo_1-s_5-m_100-n_500-fp_0.0001-fn_0.05,603576482789549.0
simNo_2-s_5-m_100-n_500-fp_0.01-fn_0.05,871162440710048.0
simNo_7-s_5-m_100-n_100-fp_0.0001-fn_0.20,315410833554993.0
simNo_9-s_5-m_300-n_300-fp_0.0001-fn_0.20,1426871913418854.0
soc-livejournal-user-groups,
socfb-uci-uni,
tcp_students_112_it_5,3366.0
test4,392.0
tic.formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_6,571.0
vio.role_domino_violations_0.15_9,52722.0
vio.role_domino_violations_0.25_14,81929.0
vio.role_domino_violations_0.25_3,82633.0
vio.role_domino_violations_0.75_2,183311.0
vio.role_domino_violations_0.7_16,180417.0
vio.role_domino_violations_0.7_3,180398.0
vio.role_firewall_violations_1_0.95_0,102154.0
vio.role_university_violations_0.2_7,117753.0
wcn.adult_train_3_DNF_1_5,24254.0
wcn.heart_train_2_CNF_5_10,240.0
wcn.heart_train_6_DNF_5_5,121.0
wcn.titanic_train_7_CNF_5_15,3286.0
wcn.titanic_train_8_CNF_5_10,2210.0
web-wikipedia2009,26995107.0
wei.MultiDay_2_weighted,460234.0
wei.MultiDay_3_weighted,1052595.0
wei.MultiDay_4_weighted,2016711.0
wei.SingleDay_15_weighted,3633325.0
wei.SingleDay_37_weighted,43941819.0
wg2,122.0
