ins,min
MSE2023-anytime-UW-benchmark,0.0
MaxSATQueriesinInterpretableClassifiers-twitter_train_2_CNF_4_1,1695.0
MaxSATQueriesinInterpretableClassifiers-twitter_train_9_CNF_1_1,1810.0
MaxSATQueriesinInterpretableClassifiers-wdbc_train_9_CNF_5_1,21.0
SeanSafarpour-rsdecoder1_blackbox_KESblock-problem.dimacs_30.filtered,23.0
aes-mul_8_11,64.0
aes-mul_8_13,60.0
aes-mul_8_14,56.0
aes-mul_8_3,36.0
aes-mul_8_9,42.0
aes-sbox_8,377.0
atcoss-atcoss_mesat_02,
atcoss-atcoss_mesat_15,
atcoss-atcoss_sugar_05,
atcoss-atcoss_sugar_15,
bcp-SU3__simp-genos.haps.9,106.0
decision-tree-anneal-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_tree,120.0
decision-tree-australian-credit-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_tree,73.0
decision-tree-breast-cancer-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_tree,38.0
decision-tree-breast-cancer-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree,36.0
decision-tree-car-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_tree,193.0
decision-tree-car-un-formula_0.8_2021_atleast_63_max-5_reduced_incomplete_tree,193.0
decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree,50.0
decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_63_max-5_reduced_incomplete_tree,52.0
decision-tree-hypothyroid-un-formula_0.8_2021_atleast_63_max-5_reduced_incomplete_tree,102.0
decision-tree-kr-vs-kp-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_tree,574.0
decision-tree-kr-vs-kp-un-formula_0.8_2021_atleast_63_max-5_reduced_incomplete_tree,811.0
decision-tree-lymph-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_tree,22.0
decision-tree-mushroom-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree,749.0
decision-tree-tic-tac-toe-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_tree,218.0
extension-enforcement-extension-enforcement_non-strict_stb_200_0.05_1_10_1,10.0
fault-diagnosis-s38584_nan_explicit_10_0,221.0
fault-diagnosis-s38584_nan_explicit_9_0,253.0
gen-hyper-tw-GenHyperTW_2bitcomp_5,11.0
gen-hyper-tw-GenHyperTW_aim-50-1_6-no-3,10.0
gen-hyper-tw-GenHyperTW_aim-50-1_6-yes1-3,10.0
gen-hyper-tw-GenHyperTW_b01,5.0
