alg_name,ins,ins_set,mean,median,min,fr,nr
BanditMax,correlation-clustering-Rounded_CorrelationClustering_Protein1_UNARY_N290,MSE23-w,77072102.9,76685852.5,70884845,1.0,10
BanditMax,railway-transport-wg2,MSE23-w,152.6,150.0,139,1.0,10
BanditMax,correlation-clustering-Rounded_CorrelationClustering_Protein3_UNARY_N220,MSE23-w,59084752.2,57463698.0,49001251,1.0,10
BanditMax,mpe-random-net-50-5_network-8.net,MSE23-w,46579.1,46535.0,46535,1.0,10
BanditMax,spot5-1405.wcsp.dir,MSE23-w,459750.9,459453.5,459445,1.0,10
BanditMax,staff-scheduling-instance8,MSE23-w,3824.0,3851.0,3464,1.0,10
BanditMax,setcover-rail4284,MSE23-w,1516.3333333333333,1506.0,1496,0.9,10
BanditMax,correlation-clustering-Rounded_CorrelationClustering_Vowel_BINARY_N800_D0.200,MSE23-w,99104231.2,98833218.5,96137174,1.0,10
BanditMax,switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_68,MSE23-w,,,,0.0,10
BanditMax,correlation-clustering-Rounded_CorrelationClustering_Protein4_BINARY_N320,MSE23-w,14418611.8,14498312.5,14011167,1.0,10
BanditMax,staff-scheduling-instance2,MSE23-w,831.9,832.0,829,1.0,10
BanditMax,decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_4,MSE23-w,127.9,129.0,122,1.0,10
BanditMax,causal-discovery-causal_Water_10_1000,MSE23-w,45193159.0,45193159.0,45193159,1.0,10
BanditMax,ParametricRBACMaintenance_mse20-role_university_multiple_0.5_4,MSE23-w,207493.7,207798.0,204181,1.0,10
BanditMax,MinimumWeightDominatingSetProblem-delaunay_n24,MSE23-w,276410797.8,276408436.5,276337805,1.0,10
BanditMax,staff-scheduling-instance9,MSE23-w,2166.7,2176.5,2016,1.0,10
BanditMax,hs-timetabling-BrazilInstance7.xml,MSE23-w,1031.0,1031.0,1031,0.1,10
BanditMax,MaxSATQueriesinInterpretableClassifiers-credit_train_8_CNF_5_20,MSE23-w,97896.1,96761.0,95905,1.0,10
BanditMax,MinimumWeightDominatingSetProblem-soc-livejournal-user-groups,MSE23-w,,,,,0
BanditMax,relational-inference-pa-1,MSE23-w,2682.6,2708.5,2276,1.0,10
BanditMax,spot5-1506.wcsp.log,MSE23-w,355534.3,355532.0,354546,1.0,10
BanditMax,generalized-ising-IS5_5.0.5.0.0.5_softer_periodic,MSE23-w,114978411483899.9,114974122683408.5,114889581933057,1.0,10
BanditMax,staff-scheduling-instance10,MSE23-w,6080.1,6096.0,5799,1.0,10
BanditMax,correlation-clustering-Rounded_CorrelationClustering_Ionosphere_BINARY_N260_D0.200,MSE23-w,6643513.7,6638044.0,6632526,1.0,10
BanditMax,generalized-ising-IS16_5.0.5.0.0.5_softer_periodic,MSE23-w,115541066404123.1,115539998927143.5,115522026143098,1.0,10
BanditMax,max-realizability-robot-navigation_10,MSE23-w,,,,0.0,10
BanditMax,abstraction-refinement-polysite-xalan,MSE23-w,114710.9,114709.0,114705,1.0,10
BanditMax,hs-timetabling-BrazilInstance2.xml,MSE23-w,268.0,271.5,241,1.0,10
BanditMax,ramsey-ram_k4_n19.ra1,MSE23-w,960.0,965.5,707,1.0,10
BanditMax,railway-transport-f2030,MSE23-w,4561.1,4558.5,4436,1.0,10
BanditMax,ParametricRBACMaintenance_mse20-role_domino_multiple_0.6_8,MSE23-w,157269.0,157141.5,157047,1.0,10
BanditMax,generalized-ising-IS20_5.0.5.0.0.5_softer_periodic,MSE23-w,120172969148733.4,120152805589756.0,119897560256891,1.0,10
BanditMax,abstraction-refinement-downcast-hsqldb,MSE23-w,30242.8,30242.5,30236,1.0,10
