alg_name,ins,ins_set,mean,median,min,fr,nr
ecdf-multi-4,switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_80,MSE23-w,,,,0.0,10
ecdf-multi-4,MaxSATQueriesinInterpretableClassifiers-toms_test_2_CNF_3_20,MSE23-w,189.5,185.5,154,1.0,10
ecdf-multi-4,railway-transport-bf2030fvslack,MSE23-w,,,,0.0,10
ecdf-multi-4,setcover-rail2536,MSE23-w,,,,0.0,10
ecdf-multi-4,switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_66,MSE23-w,,,,0.0,10
ecdf-multi-4,judgment-aggregation-ja-kemeny-preflib-00049-00000454,MSE23-w,646.0,643.5,634,1.0,10
ecdf-multi-4,decision-tree-primary-tumor-un-formula_0.8_2021_atleast_63_max-5_reduced_incomplete_adaboost_6,MSE23-w,305.7,307.0,289,1.0,10
ecdf-multi-4,judgment-aggregation-ja-kemeny-preflib-00051-00000011,MSE23-w,705.1,704.0,700,1.0,10
ecdf-multi-4,pseudoBoolean-normalized-mps-v2-20-10-sentoy.opb.msat,MSE23-w,,,,0.0,10
ecdf-multi-4,mpe-random-net-50-5_network-8.net,MSE23-w,46598.4,46535.0,46535,1.0,10
ecdf-multi-4,causal-discovery-causal_Mushroom_7_1000,MSE23-w,542544.0,542544.0,542544,1.0,10
ecdf-multi-4,shiftdesign-limits-10-10_data-2_inst-003_30m.sm-extracted,MSE23-w,,,,0.0,10
ecdf-multi-4,relational-inference-pa-3,MSE23-w,10574.2,12318.5,852,1.0,10
ecdf-multi-4,ramsey-ram_k4_n19.ra1,MSE23-w,1161.6,1154.0,1057,1.0,10
ecdf-multi-4,causal-discovery-causal_Link_9_100,MSE23-w,3242187.0,3242187.0,3242187,1.0,10
ecdf-multi-4,tcp-tcp_students_112_it_2,MSE23-w,3689.7,3702.0,3624,1.0,10
ecdf-multi-4,decision-tree-anneal-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_5,MSE23-w,741.6,740.5,704,1.0,10
ecdf-multi-4,decision-tree-primary-tumor-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_2,MSE23-w,107.7,108.0,102,1.0,10
ecdf-multi-4,judgment-aggregation-ja-kemeny-preflib-00049-00000300,MSE23-w,789.1,786.5,778,1.0,10
ecdf-multi-4,staff-scheduling-instance5,MSE23-w,1409.9,1404.5,1304,1.0,10
ecdf-multi-4,shiftdesign-limits-10-10_data-1_inst-182_30m.sm-extracted,MSE23-w,,,,0.0,10
ecdf-multi-4,shiftdesign-limits-10-10_data-1_inst-137_30m.sm-extracted,MSE23-w,,,,0.0,10
ecdf-multi-4,decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_4,MSE23-w,121.2,121.0,115,1.0,10
ecdf-multi-4,decision-tree-tic-tac-toe-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_2,MSE23-w,312.4,319.0,285,1.0,10
ecdf-multi-4,timetabling-comp02,MSE23-w,188.4,188.5,169,1.0,10
ecdf-multi-4,ParametricRBACMaintenance_mse20-role_university_multiple_0.5_5,MSE23-w,188889.0,189219.0,183690,1.0,10
ecdf-multi-4,generalized-ising-IS12_5.0.5.0.0.5_softer_periodic,MSE23-w,113320350773413.9,113308052071346.5,113126557676706,1.0,10
ecdf-multi-4,correlation-clustering-Rounded_CorrelationClustering_Protein4_BINARY_N320,MSE23-w,15046070.6,15112842.0,14497644,1.0,10
ecdf-multi-4,MinimumWeightDominatingSetProblem-inf-road-usa,MSE23-w,759733744.3,759755814.5,759599193,1.0,10
ecdf-multi-4,causal-discovery-causal_Pigs_6_1000,MSE23-w,35110976.0,35110976.0,35110976,1.0,10
ecdf-multi-4,spot5-1405.wcsp.dir,MSE23-w,459417.3,459417.0,459417,1.0,10
ecdf-multi-4,judgment-aggregation-ja-kemeny-preflib-00049-00000334,MSE23-w,565.7,567.0,551,1.0,10
ecdf-multi-4,generalized-ising-IS9_5.0.5.0.0.5_softer_periodic,MSE23-w,110178678260434.9,110144567631415.5,110066981524176,1.0,10
ecdf-multi-4,timetabling-comp12,MSE23-w,980.9,981.0,910,1.0,10
ecdf-multi-4,setcover-rail4284,MSE23-w,,,,0.0,10
ecdf-multi-4,shiftdesign-limits-10-10_data-3_inst-002_30m.sm-extracted,MSE23-w,,,,0.0,10
ecdf-multi-4,MinimumWeightDominatingSetProblem-delaunay_n24,MSE23-w,276410797.8,276408436.5,276337805,1.0,10
ecdf-multi-4,abstraction-refinement-polysite-hsqldb,MSE23-w,172573.5,172575.5,172534,1.0,10
ecdf-multi-4,generalized-ising-IS17_5.0.5.0.0.5_softer_periodic,MSE23-w,116017899627820.5,116013153128959.5,115970127104463,1.0,10
ecdf-multi-4,ParametricRBACMaintenance_mse20-role_smallcomp_multiple_0.9_6,MSE23-w,282211.8,282321.0,281854,1.0,10
ecdf-multi-4,ParametricRBACMaintenance_mse20-role_university_multiple_0.1_1,MSE23-w,60943.1,61004.0,59702,1.0,10
ecdf-multi-4,staff-scheduling-instance11,MSE23-w,3644.8,3648.5,3623,1.0,10
ecdf-multi-4,ParametricRBACMaintenance_mse20-role_university_multiple_0.4_7,MSE23-w,178236.1,177048.5,172991,1.0,10
ecdf-multi-4,spot5-1506.wcsp.log,MSE23-w,357521.0,357521.5,356521,1.0,10
ecdf-multi-4,generalized-ising-IS3_5.0.5.0.0.5_softer_periodic,MSE23-w,117065992845630.7,117027455638370.5,116973206203038,1.0,10
ecdf-multi-4,timetabling-comp09,MSE23-w,200.1,201.5,178,1.0,10
ecdf-multi-4,staff-scheduling-instance10,MSE23-w,5817.0,5833.5,5602,1.0,10
ecdf-multi-4,switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_100,MSE23-w,,,,0.0,10
ecdf-multi-4,MinimumWeightDominatingSetProblem-bn-human-BNU_1_0025865_session_1-bg,MSE23-w,119428386.83333333,119428882.0,119423325,0.6,10
ecdf-multi-4,correlation-clustering-Rounded_CorrelationClustering_Protein4_UNARY_N250,MSE23-w,19119436.6,18951145.0,16537730,1.0,10
ecdf-multi-4,abstraction-refinement-polysite-xalan,MSE23-w,114744.0,114743.5,114736,1.0,10
ecdf-multi-4,causal-discovery-causal_carpo_8_1000,MSE23-w,3358847.1,3339377.0,2244087,1.0,10
