alg_name,ins,ins_set,mean,median,min,fr,nr
ecdf-5,correlation-clustering-Rounded_CorrelationClustering_Protein1_UNARY_N290,MSE23-w,23162369.2,20182184.0,19907956,1.0,10
ecdf-5,railway-transport-wg2,MSE23-w,166.5,166.0,123,1.0,10
ecdf-5,correlation-clustering-Rounded_CorrelationClustering_Protein3_UNARY_N220,MSE23-w,16306843.9,15897546.5,14542078,1.0,10
ecdf-5,mpe-random-net-50-5_network-8.net,MSE23-w,49284.3,49059.0,48500,1.0,10
ecdf-5,spot5-1405.wcsp.dir,MSE23-w,463050.5,463447.5,461452,1.0,10
ecdf-5,staff-scheduling-instance8,MSE23-w,6962.4,7040.0,6527,1.0,10
ecdf-5,setcover-rail4284,MSE23-w,1603.5,1603.5,1600,0.2,10
ecdf-5,correlation-clustering-Rounded_CorrelationClustering_Vowel_BINARY_N800_D0.200,MSE23-w,86235744.6,86254474.5,85370483,1.0,10
ecdf-5,switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_68,MSE23-w,,,,0.0,10
ecdf-5,correlation-clustering-Rounded_CorrelationClustering_Protein4_BINARY_N320,MSE23-w,14456904.2,14498770.0,14031335,1.0,10
ecdf-5,staff-scheduling-instance2,MSE23-w,836.1,838.0,831,1.0,10
ecdf-5,decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_4,MSE23-w,145.0,146.0,136,1.0,10
ecdf-5,causal-discovery-causal_Water_10_1000,MSE23-w,45193159.0,45193159.0,45193159,1.0,10
ecdf-5,ParametricRBACMaintenance_mse20-role_university_multiple_0.5_4,MSE23-w,240041.0,239867.0,225305,1.0,10
ecdf-5,MinimumWeightDominatingSetProblem-delaunay_n24,MSE23-w,276393524.0,276408436.5,276257746,1.0,10
ecdf-5,staff-scheduling-instance9,MSE23-w,7390.6,7402.5,6929,1.0,10
ecdf-5,hs-timetabling-BrazilInstance7.xml,MSE23-w,901.4,901.0,868,1.0,10
ecdf-5,MaxSATQueriesinInterpretableClassifiers-credit_train_8_CNF_5_20,MSE23-w,96547.7,96507.5,96289,1.0,10
ecdf-5,MinimumWeightDominatingSetProblem-soc-livejournal-user-groups,MSE23-w,,,,,0
ecdf-5,relational-inference-pa-1,MSE23-w,4731.2,4835.0,4118,1.0,10
ecdf-5,spot5-1506.wcsp.log,MSE23-w,354535.9,354535.5,354530,1.0,10
ecdf-5,generalized-ising-IS5_5.0.5.0.0.5_softer_periodic,MSE23-w,114894880881857.0,114843630201223.0,114843630201223,1.0,10
ecdf-5,staff-scheduling-instance10,MSE23-w,12531.5,12546.5,11938,1.0,10
ecdf-5,correlation-clustering-Rounded_CorrelationClustering_Ionosphere_BINARY_N260_D0.200,MSE23-w,6903599.6,6909375.0,6807601,1.0,10
ecdf-5,generalized-ising-IS16_5.0.5.0.0.5_softer_periodic,MSE23-w,115258059944609.5,115258059944605.0,115258059944605,1.0,10
